indv	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HG01879	0.0358	-0.0011	0.0055	-0.007	0.0159	-0.0632	-0.0024	-0.0242	0.0256	0.0771	0.0637	0.0097	-0.0398	-0.0389	0.0993	-0.01	-0.0276	-0.0044	0.0462	0.007
HG01880	0.0134	0	-0.0084	-0.0109	-0.0011	-0.0112	0.0139	-0.0455	0.0589	0.0285	0.0192	-0.0376	-0.0513	-0.0527	-0.0071	-0.025	0.0629	0.1478	0.0085	-0.0181
HG01882	0.0391	-0.0011	-4e-04	0.0083	-0.0392	0.0046	-3e-04	-0.0221	0.1302	0.0643	0.0108	-0.0112	0.0374	-0.0385	0.0316	-0.0309	-0.0331	0.0056	-0.0387	0.0503
HG01883	0.0332	-0.0013	0.0076	0.0034	-0.0251	-0.012	-0.035	-0.02	0.031	-0.0288	0.0118	-0.0457	0.0272	0.0289	0.003	0.0455	-0.019	0.0041	-0.038	0.0399
HG01885	0.0335	-0.0031	-0.0062	-0.0022	-0.0519	-0.0347	0.0079	0.0337	-0.0101	1e-04	0.0236	-0.0173	0.0497	0.0135	-0.0142	-0.0249	-0.0246	-0.0145	-0.0188	-0.0187
HG01886	0.0225	-0.0085	0.0086	0.0065	-0.0287	-0.0296	-0.0404	-0.0177	-0.0167	0.0044	0.0274	-0.0152	0.0095	0.0198	0.0209	-0.0202	-0.0302	0	0.0322	0.0235
HG01889	0.0316	0.0014	0.0038	0.0029	-0.008	0.0174	0.0468	-0.0613	-0.0549	0.0326	0.023	0.0136	0.0044	0.005	0.014	0.019	0.0073	0.016	-0.0304	-0.0338
HG01890	0.0398	-0.0018	-0.0047	0.0066	-0.0238	0.0359	0.0576	0.0272	0.0334	-0.0199	-0.0759	-0.0529	-0.0403	0.0892	0.0145	-0.0184	-0.0298	0.0112	0.0456	-0.0154
HG01892	-0.0061	0.0062	0.0188	-0.0625	-8e-04	0.0037	8e-04	0.0022	0.004	-8e-04	0.0031	-4e-04	-0.0038	0.0087	0.0014	-0.0096	0.0032	-0.0036	-0.0062	-0.0011
HG01893	-0.0012	3e-04	0.0173	-0.0294	-0.0175	-2e-04	-0.0065	0.0069	6e-04	-0.0182	-0.008	-0.0046	-0.0039	-6e-04	9e-04	-0.0059	-0.0024	7e-04	0.0062	-0.0033
HG01894	0.0296	3e-04	0.0034	-8e-04	-2e-04	-0.0065	0.0097	-0.0147	0.0153	0.0183	0.0038	0.0048	-0.019	-0.0093	-0.0321	0.0158	-0.0044	-0.024	0.016	0.0038
