ID1	ID2	IBD_CM_SUM
NA20902	NA21127	5.273209
HG01892	HG01982	20.76024
HG00553	HG01101	49.50442
HG01791	NA12154	5.343628
HG00274	HG00332	10.83921
HG00553	HG00733	53.54717
NA19346	NA19395	571.2461
HG00178	HG00373	5.137573
NA19319	NA19445	5.833847
HG03108	HG03195	14.37701
HG00553	HG00731	48.17604
HG02977	HG03199	23.14307
HG02724	HG02728	22.72021
HG03108	HG03279	8.55217
NA20882	NA21124	5.769745
NA19313	NA19317	11.07645
HG00553	HG01177	62.92192
HG01028	HG01848	5.403336
HG00662	HG00701	33.51682
HG00553	HG01054	56.1231
NA20861	NA21093	12.27322
HG01200	HG01312	52.8708
HG01170	HG01200	31.12917
HG02922	HG03291	14.07931
NA20861	NA21127	11.93183
HG02922	HG03267	12.17218
NA20902	NA20911	17.22869
HG03784	HG04026	33.17435
HG01200	HG01311	5.658558
HG00553	HG01077	13.44845
HG02922	HG03372	26.62045
HG03271	HG03298	60.32742
HG01923	HG02265	6.90033
NA20861	NA21111	38.261
HG03697	HG03754	31.8079
NA21102	NA21125	5.719437
NA19147	NA19247	24.82329
NA20902	NA21133	11.46592
HG00553	HG00734	20.57112
HG03849	HG03896	110.8982
HG01170	HG01205	45.57234
HG00553	HG01066	48.12115
HG00766	HG02364	11.8159
HG02583	HG02763	65.75152
NA19319	NA19394	39.79826
HG01173	HG01396	55.67771
HG00277	HG00327	5.761791
HG01892	HG02298	31.94422
HG00107	HG00110	14.13577
HG00345	HG00372	6.526901
HG03784	HG03786	28.32973
NA20861	NA20871	23.0189
HG00553	HG00736	55.82653
NA20861	NA21099	22.78851
HG03736	HG03900	10.75159
HG00553	HG01060	36.31816
HG03108	HG03303	22.49094
HG00553	HG01188	48.16703
NA20861	NA21086	14.8293
HG00553	HG01395	59.00716
HG03784	HG03861	30.24071
HG00107	HG00233	5.567856
HG00345	HG00379	41.42103
NA20521	NA20826	8.238247
NA20882	NA20885	45.48783
HG00280	HG00321	18.81469
NA19141	NA19153	7.397041
NA21110	NA21127	20.99312
HG02922	HG03166	35.30592
HG01200	HG01302	11.39354
HG00132	NA12748	6.319595
HG01137	HG01497	42.87703
HG01326	HG01414	60.52502
HG01200	HG01412	32.86465
HG01089	HG01097	41.45715
HG02724	HG03663	52.55655
HG03027	NA20289	5.364796
NA20869	NA20889	12.2978
HG00274	HG00329	13.15805
HG00553	HG01205	41.35185
HG02922	HG03343	22.53397
HG01357	HG01498	11.36634
HG03108	HG03271	78.1033
NA20869	NA21144	24.02002
HG01028	HG02373	7.038597
HG03136	HG03369	17.91908
HG00178	HG00313	15.61806
HG00553	HG01164	47.30848
HG02724	HG03016	45.74199
HG00280	HG00373	18.86511
HG01089	HG01248	13.94496
HG00553	HG01058	11.66827
HG00274	HG00371	26.55245
HG03752	HG03900	18.15349
